videoID,userID,actionType,category,hashedVideoID,reason,service,id,cid
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,skip,sponsor,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,1,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,mute,sponsor,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,2,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,full,sponsor,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,3,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,skip,selfpromo,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,4,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,mute,selfpromo,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,5,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,full,selfpromo,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,6,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,skip,interaction,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,7,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,mute,interaction,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,8,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,skip,intro,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,9,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,mute,intro,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,10,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,skip,outro,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,11,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,mute,outro,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,12,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,skip,preview,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,13,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,mute,preview,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,14,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,skip,music_offtopic,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,15,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,poi,poi_highlight,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,16,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,poi,poi_highlight,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,17,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,skip,filler,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,18,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,mute,filler,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,19,168885122
BV14741127BN,c42c443effe215391b2a56b0c8cfab1701b3301b65cd4fec9034bcd803e4b922,full,exclusive_access,5759fbc7027da6b1f9c70d74d1d085dd2ded08d3c6caf6b30f56eeca00a92be3,"",YouTube,20,168885122
